City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Morrinhos,BR,-17.7311,-49.0994,88.84,15,47,0.85,scattered clouds
80,Jalu,LY,29.0331,21.5482,76.77,49,0,12.3,clear sky
81,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,13.8,clear sky
82,Ancud,CL,-41.8697,-73.8203,51.42,86,100,11.81,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,71.89,83,75,8.05,broken clouds
84,Bengkulu,ID,-3.8004,102.2655,74.52,93,85,4.5,overcast clouds
85,Shache,CN,38.4167,77.2406,70.7,23,0,5.97,clear sky
86,Horodnye,UA,45.8908,28.8483,63.05,70,6,4.7,clear sky
87,Svetlogorsk,BY,52.6333,29.7333,47.26,71,7,5.55,clear sky
88,Huambo,AO,-12.7761,15.7392,69.58,52,73,9.6,light rain
89,Komsomolskiy,UZ,40.4272,71.7189,66.92,48,0,4.61,clear sky
90,Egvekinot,RU,66.3167,-179.1667,30.96,85,99,1.14,overcast clouds
91,Hay River,CA,60.8156,-115.7999,49.98,93,90,19.57,light rain
92,Luderitz,NA,-26.6481,15.1594,53.67,69,0,24.38,clear sky
93,Chokurdakh,RU,70.6333,147.9167,27.55,83,31,5.41,scattered clouds
94,Samarai,PG,-10.6167,150.6667,77.95,77,86,16.78,overcast clouds
95,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,0,9.22,clear sky
96,Alice Springs,AU,-23.7,133.8833,56.75,44,51,0.0,broken clouds
97,Kanniyakumari,IN,8.0833,77.5667,79.57,84,96,17.87,overcast clouds
98,Ribeira Grande,PT,38.5167,-28.7,71.98,74,9,3.6,clear sky
99,Luganville,VU,-15.5333,167.1667,79.75,74,98,5.86,overcast clouds
100,Lata,PT,40.1629,-8.3327,67.08,96,34,1.95,scattered clouds
101,Batouri,CM,4.4333,14.3667,70.88,87,14,3.29,few clouds
102,Sobolevo,RU,54.4299,31.8996,40.95,73,3,6.53,clear sky
103,Srednekolymsk,RU,67.45,153.6833,37.29,74,100,8.41,overcast clouds
104,Talnakh,RU,69.4865,88.3972,37.8,97,100,10.65,light rain
105,Tiksi,RU,71.6872,128.8694,38.75,93,100,4.41,overcast clouds
106,Sorland,NO,67.667,12.6934,50.99,60,88,7.54,overcast clouds
107,Upernavik,GL,72.7868,-56.1549,32.36,81,100,13.98,overcast clouds
108,Lebu,CL,-37.6167,-73.65,53.94,69,18,7.27,few clouds
109,Dryden,CA,49.7833,-92.7503,66.49,45,75,8.05,broken clouds
110,Rwamagana,RW,-1.9487,30.4347,67.44,67,89,4.03,overcast clouds
111,Bosaso,SO,11.2842,49.1816,90.27,48,48,4.65,scattered clouds
112,Dunedin,NZ,-45.8742,170.5036,49.8,64,26,10.0,scattered clouds
113,Nanortalik,GL,60.1432,-45.2371,40.08,77,5,2.46,clear sky
114,Port Alfred,ZA,-33.5906,26.891,57.56,74,42,10.27,scattered clouds
115,Tosham,IN,28.8833,75.9167,78.39,80,0,7.67,clear sky
116,Starkville,US,33.4504,-88.8184,80.58,95,75,6.91,broken clouds
117,Severo-Kurilsk,RU,50.6789,156.125,49.51,86,16,9.6,few clouds
118,Innisfail,AU,-17.5333,146.0333,65.37,79,36,4.18,scattered clouds
119,Petrovsk-Zabaykalskiy,RU,51.273,108.843,42.37,93,40,2.84,scattered clouds
120,Jumilla,ES,38.4792,-1.325,72.36,59,64,3.78,broken clouds
121,Coolum Beach,AU,-26.5333,153.1,59.34,75,6,7.34,clear sky
122,Beipiao,CN,41.7919,120.7792,60.76,92,100,1.1,light rain
123,Keffi,NG,8.8486,7.8736,77.38,91,13,2.89,few clouds
124,Qaanaaq,GL,77.484,-69.3632,16.2,69,24,7.58,few clouds
125,Baghdad,IQ,33.3406,44.4009,76.91,33,0,6.91,clear sky
126,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,40,18.41,mist
127,Esperance,AU,-33.8667,121.9,57.04,65,54,17.56,broken clouds
128,Nabire,ID,-3.3667,135.4833,73.26,94,79,3.38,broken clouds
129,Pailon,BO,-17.65,-62.75,88.86,27,11,1.34,few clouds
130,Ayni,TJ,39.3941,68.5377,66.22,36,0,3.24,clear sky
131,Bluff,NZ,-46.6,168.3333,44.8,71,88,11.59,overcast clouds
132,La Ronge,CA,55.1001,-105.2842,57.42,47,75,12.66,broken clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,64.42,32,0,16.11,clear sky
134,Rio Gallegos,AR,-51.6226,-69.2181,42.85,28,40,32.21,scattered clouds
135,Kruisfontein,ZA,-34.0033,24.7314,51.89,83,1,6.98,clear sky
136,Szamotuly,PL,52.612,16.5779,68.23,77,100,5.53,light rain
137,Iralaya,HN,15.0,-83.2333,84.07,71,100,10.09,overcast clouds
138,Orbetello,IT,42.4408,11.2196,74.25,80,98,9.51,overcast clouds
139,Atuona,PF,-9.8,-139.0333,77.83,74,2,23.89,clear sky
140,Uyuni,BO,-20.4597,-66.825,57.87,6,79,13.51,broken clouds
141,Kidal,ML,18.4411,1.4078,94.68,25,64,4.85,broken clouds
142,Veraval,IN,20.9,70.3667,81.27,91,100,13.4,overcast clouds
143,Kahului,US,20.8947,-156.47,87.82,63,40,17.27,scattered clouds
144,Kushima,JP,31.4583,131.2333,76.51,95,100,5.84,overcast clouds
145,Bethel,US,41.3712,-73.414,85.73,71,1,13.8,clear sky
146,Puerto Ayora,EC,-0.7393,-90.3518,76.96,92,63,1.99,broken clouds
147,Raymondville,US,26.4815,-97.7831,95.36,43,91,9.57,overcast clouds
148,Serabu,SL,7.7958,-12.0536,72.61,99,100,2.15,overcast clouds
149,Katsuura,JP,35.1333,140.3,69.91,85,16,15.99,few clouds
150,Kondagaon,IN,19.6,81.6667,70.27,95,82,5.08,broken clouds
151,Saint-Augustin,CA,51.226,-58.6502,47.41,85,100,13.6,overcast clouds
152,Benjamin Constant,BR,-4.3831,-70.0311,89.73,58,40,4.61,scattered clouds
153,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,62.47,72,100,11.5,overcast clouds
154,Ahipara,NZ,-35.1667,173.1667,61.75,92,67,8.63,broken clouds
155,Butaritari,KI,3.0707,172.7902,82.98,74,67,14.67,broken clouds
156,Kalanguy,RU,51.0167,116.5167,38.17,81,2,3.31,clear sky
157,Dikson,RU,73.5069,80.5464,37.67,92,100,26.28,overcast clouds
158,Pontianak,ID,-0.0333,109.3333,75.18,100,90,3.44,overcast clouds
159,Susehri,TR,40.1644,38.0867,57.94,86,21,3.18,few clouds
160,Nikolskoye,RU,59.7035,30.7861,44.02,91,97,4.74,overcast clouds
161,Flinders,AU,-34.5833,150.8552,53.8,78,40,4.0,scattered clouds
162,Assiniboia,CA,49.6334,-105.9845,66.11,27,2,18.41,clear sky
163,Hervey Bay,AU,-25.2986,152.8535,57.31,80,2,9.73,clear sky
164,Banjar,ID,-8.19,114.9675,74.66,90,98,5.3,overcast clouds
165,Port Hardy,CA,50.6996,-127.4199,59.18,63,20,12.66,few clouds
166,Morondava,MG,-20.2833,44.2833,73.94,76,7,6.31,clear sky
167,Castro,BR,-24.7911,-50.0119,61.11,98,100,8.61,overcast clouds
168,Talcahuano,CL,-36.7167,-73.1167,56.88,72,0,16.11,clear sky
169,Codrington,AU,-38.2667,141.9667,39.74,94,25,7.58,scattered clouds
170,Georgetown,MY,5.4112,100.3354,80.53,90,20,4.61,few clouds
171,Aklavik,CA,68.2191,-135.0107,56.12,67,100,7.18,overcast clouds
172,Yagodnoye,RU,62.55,149.6667,45.0,75,100,3.56,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,33.8,80,75,5.75,broken clouds
174,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,5,2.3,light rain
175,Burlington,US,39.8835,-74.6413,88.83,64,1,5.01,clear sky
176,Adrar,MR,20.5022,-10.0711,99.18,14,89,12.12,overcast clouds
177,Sao Filipe,CV,14.8961,-24.4956,80.87,80,97,11.79,overcast clouds
178,Valley City,US,46.9233,-98.0032,79.79,53,90,20.71,overcast clouds
179,Zhigansk,RU,66.7697,123.3711,41.47,72,97,4.74,overcast clouds
180,Garowe,SO,8.4054,48.4845,83.53,41,100,18.1,overcast clouds
181,Daru,PG,-9.0763,143.2092,77.2,74,100,18.52,overcast clouds
182,Mabaruma,GY,8.2,-59.7833,80.6,89,40,0.0,scattered clouds
183,Magangue,CO,9.242,-74.7547,86.04,71,99,2.77,overcast clouds
184,Taoudenni,ML,22.6783,-3.9836,103.42,10,0,6.31,clear sky
185,Longyearbyen,SJ,78.2186,15.6401,30.04,80,20,3.44,few clouds
186,Guliston,UZ,40.4897,68.7842,67.66,21,0,4.41,clear sky
187,Uchiza,PE,-8.4592,-76.4633,89.38,42,61,3.18,broken clouds
188,Pedernales,DO,18.0384,-71.744,86.5,64,12,3.2,few clouds
189,Tallahassee,US,30.4383,-84.2807,78.62,96,90,1.99,overcast clouds
190,Bud,US,39.447,-86.1758,79.05,64,78,5.21,broken clouds
191,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,69,20,13.8,few clouds
192,Champerico,GT,14.3,-91.9167,86.54,73,32,5.99,scattered clouds
193,Rocha,UY,-34.4833,-54.3333,54.72,71,2,3.65,clear sky
