City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Assiniboia,CA,66.11,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
164,Banjar,ID,74.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
166,Morondava,MG,73.94,clear sky,-20.2833,44.2833,La Case Bambou
170,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
175,Burlington,US,88.83,clear sky,39.8835,-74.6413,Delanco Camp
177,Sao Filipe,CV,80.87,overcast clouds,14.8961,-24.4956,Hotel Xaguate
178,Valley City,US,79.79,overcast clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
180,Garowe,SO,83.53,overcast clouds,8.4054,48.4845,Curubo Hotel
181,Daru,PG,77.2,overcast clouds,-9.0763,143.2092,Daru Lodge
182,Mabaruma,GY,80.6,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
183,Magangue,CO,86.04,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
186,Guliston,UZ,67.66,clear sky,40.4897,68.7842,Sadafhotel
187,Uchiza,PE,89.38,broken clouds,-8.4592,-76.4633,Hotel San Pedro
188,Pedernales,DO,86.5,few clouds,18.0384,-71.744,Hotel Costa Marina
189,Tallahassee,US,78.62,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
190,Bud,US,79.05,broken clouds,39.447,-86.1758,Ted McQuinn Trust
191,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
192,Champerico,GT,86.54,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
194,Takoradi,GH,75.02,overcast clouds,4.8845,-1.7554,Raybow International Hotel
197,Marsh Harbour,BS,82.2,few clouds,26.5412,-77.0636,Abaco Beach Resort
198,Ambilobe,MG,71.15,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
199,Nouakchott,MR,89.53,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
202,Hasaki,JP,66.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
203,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
204,Russell,US,73.11,light rain,32.3502,-85.1999,Macs
205,Salur,IN,78.15,overcast clouds,18.5333,83.2167,Pradeep
206,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
207,Tabou,CI,74.8,moderate rain,4.423,-7.3528,hotêl doufoulougou
209,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
211,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
212,Inhambane,MZ,73.67,clear sky,-23.865,35.3833,Oceano
216,Atambua,ID,71.83,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
217,Jeremie,HT,84.47,broken clouds,18.65,-74.1167,Auberge’Inn
218,Kisangani,CD,70.57,light rain,0.5167,25.2,Grand Ramela Hotel
219,Umm Lajj,SA,86.58,scattered clouds,25.0213,37.2685,Moon light Furnished Units
221,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
223,Windsor,CA,77.58,scattered clouds,42.3001,-83.0165,Howard Johnson Plaza by Wyndham Windsor
228,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
229,Yueyang,CN,72.82,light rain,29.3333,113.0919,Delong Fortune Hotel
234,Buchanan,LR,74.97,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
235,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
237,Port Moresby,PG,80.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
238,Pendleton,US,80.2,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
239,Shahr-E Babak,IR,69.85,clear sky,30.1165,55.1186,Duna Ecolodge
241,Viedma,AR,65.57,few clouds,-40.8135,-62.9967,Hotel Cristal
242,Bahia Honda,CU,83.43,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
245,Kavieng,PG,80.74,light rain,-2.5744,150.7967,Nusa Island Retreat
247,Segamat,MY,75.02,overcast clouds,2.5148,102.8158,VIP HOTEL
248,Dingle,PH,74.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
249,Itarema,BR,79.86,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
251,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
252,Wanning,CN,79.09,overcast clouds,18.8003,110.3967,Paradise Hotel
254,Cockburn Town,TC,83.71,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
257,Vanimo,PG,77.13,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
258,Yeroham,IL,68.54,clear sky,30.9872,34.9314,Desert Iris
262,Gasa,PS,78.91,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
263,Faanui,PF,78.82,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
264,Suez,EG,75.99,clear sky,29.9737,32.5263,Green House
266,Singapore,SG,80.55,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
267,Jieshi,CN,82.35,light rain,22.8134,115.8257,Yuehai Hotel
271,Conceicao Do Araguaia,BR,89.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
274,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
275,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
277,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
279,Pundaguitan,PH,80.73,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
280,Yorosso,ML,75.36,light rain,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
282,Kolda,SN,86.31,scattered clouds,12.8833,-14.95,Hôtel Hobbe Chasse
287,Akyab,MM,79.92,overcast clouds,20.15,92.9,Hotel Memory
291,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
292,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
293,Tabuk,PH,73.92,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
294,Chaozhou,CN,76.86,light rain,23.6651,116.6379,Seven Corner View Homestay
297,Guerrero Negro,MX,78.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
298,Bermeo,ES,69.13,broken clouds,43.4209,-2.7215,Eco-Hotel Mundaka
302,Mahajanga,MG,73.42,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
304,Kalemie,CD,78.51,broken clouds,-5.9475,29.1947,Mahobilali
305,Lundazi,ZM,68.74,clear sky,-12.2929,33.1782,"Stones Hotel, Lundazi"
306,Manjacaze,MZ,70.43,clear sky,-24.7117,33.8828,Hotel Gani
307,Batticaloa,LK,80.26,overcast clouds,7.7102,81.6924,Grand Star Guest House
310,Zafra,ES,65.32,broken clouds,38.4167,-6.4167,Parador de Zafra
312,Tateyama,JP,69.82,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
314,Saint-Pierre,RE,70.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
315,Grand-Lahou,CI,74.48,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
318,Sokoto,NG,82.63,few clouds,13.0609,5.239,Shukura Coral Hotel
322,Sibenik,HR,71.38,overcast clouds,43.7272,15.9058,Hotel Jadran
328,Broome,US,67.69,heavy intensity rain,42.2506,-75.833,Chenango Valley State Park
329,Nobeoka,JP,74.46,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
331,Asfi,MA,71.26,clear sky,32.2994,-9.2372,Hôtel Abda
342,Coreau,BR,86.38,broken clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
344,Diban,SY,82.33,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
346,Hirara,JP,82.71,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
347,Mae Chan,TH,73.06,overcast clouds,20.1467,99.8526,Kiang Dao Resort
348,Mustafabad,PK,84.22,clear sky,30.8922,73.4989,Khawaja Shop
351,Bambanglipuro,ID,74.95,overcast clouds,-7.95,110.2833,Puri Brata
352,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
358,Osmaniye,TR,71.53,clear sky,37.0742,36.2478,Osmaniye Ogretmenevi ve Aksam Sanat Okulu
359,Santiago Del Estero,AR,74.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
360,Saint-Georges,GD,87.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
363,Mount Pleasant,US,87.98,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
367,Sawang Daen Din,TH,74.98,overcast clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
368,Terre Haute,US,82.24,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
371,Lompoc,US,82.54,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
372,Richards Bay,ZA,66.94,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
373,Hueytown,US,75.42,overcast clouds,33.4512,-86.9967,Saddleridge Mobile Home Community | Notting Hill Apartments
380,Harper,LR,75.42,moderate rain,4.375,-7.7169,Screensaver
381,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
384,Port Blair,IN,78.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
386,Supaul,IN,77.09,overcast clouds,26.1167,86.6,Shri ram guest house
388,Beaufort,MY,73.56,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
389,Namatanai,PG,79.07,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
390,Nishihara,JP,82.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
391,Banda Aceh,ID,78.76,overcast clouds,5.5577,95.3222,Sulthan Hotel International
392,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
393,Cozumel,MX,88.95,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
394,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
395,Mackay,AU,65.05,clear sky,-21.15,149.2,International Lodge Motel
396,Dos Hermanas,ES,71.37,clear sky,37.2829,-5.9209,Leflet Valme
399,Tual,ID,80.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
401,Naze,JP,78.8,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
